,EMT_Genes
1,ABCC3
2,ACSL1
3,ACTA1
4,ACTA2
5,ADA
6,ADAM12
7,ADAP1
8,ADH1C
9,ADSSL1
10,AEBP1
11,AGAP1
12,AGR2
13,AIM1
14,AKAP12
15,AKAP2
16,AKT1
17,AKT2
18,AKT3
19,ALDH3B2
20,ALG6
21,ALOX5
22,ANK2
23,ANK3
24,ANKRD1
25,ANLN
26,ANXA4
27,ANXA8L2
28,ANXA9
29,AP1M2
30,AP1S2
31,APLP2
32,AQP3
33,ARAP2
34,AREG
35,ARHGAP8
36,ARHGDIB
37,ARHGEF18
38,ARHGEF5
39,ARPC1B
40,ARPC5L
41,ASF1B
42,ASNS
43,ASPM
44,ASPN
45,ATF3
46,ATP1A3
47,ATP1B1
48,ATP2C2
49,AXIN2
50,AXL
51,B2M
52,B3GAT1
53,B3GNT3
54,BAG2
55,BARD1
56,BCL2L11
57,BCL3
58,BCL6
59,BGN
60,BIK
61,BIRC3
62,BLM
63,BLNK
64,BMP2
65,BMP4
66,BMP7
67,BNIP3L
68,BRCA1
69,BRIX1
70,BSPRY
71,BTG1
72,BUB1
73,C1orf106
74,C1orf116
75,C1orf63
76,C1orf74
77,C1QTNF3
78,C1S
79,C4orf19
80,C7orf10
81,CA2
82,CALD1
83,CALM3
84,CAMK2N1
85,CAPN1
86,CAPZB
87,CBLC
88,CCL2
89,CCL21
90,CCL3
91,CCNA2
92,CCNB1
93,CCNB2
94,CCNG1
95,CCR2
96,CCT4
97,CD164
98,CD46
99,CD63
100,CD68
101,CD9
102,CDC45
103,CDC6
104,CDC7
105,CDCA5
106,CDCA7
107,CDH1
108,CDH10
109,CDH11
110,CDH2
111,CDH3
112,CDK1
113,CDK2
114,CDK2AP1
115,CDKN1C
116,CDS1
117,CEACAM1
118,CEACAM6
119,CENPA
120,CENPE
121,CENPW
122,CEP170
123,CEP55
124,CFB
125,CFH
126,CGN
127,CHN1
128,CIT
129,CITED2
130,CKMT1A
131,CKS1B
132,CLDN1
133,CLDN4
134,CLDN7
135,CLIC4
136,CLU
137,CNKSR1
138,COL10A1
139,COL11A1
140,COL1A1
141,COL3A1
142,COL5A1
143,COL5A2
144,COL6A1
145,COL6A2
146,COL6A3
147,COMP
148,COMT
149,COPZ2
150,CORT
151,CPT1A
